title,text,source_name,date,topics,sentiment,type,tickers,lastupdate,news_id,rank_score
Polkadot Fantom SAND Price Analysis 20 January,It may still be early to assert a solid trend reversal while the market grappled to cross the 215Tmark Meanwhile the nearterm technicals of Polkadot Fantom and SAND continued to flash a slight bearish edge while depicting their decreasing influence,AMBCrypto,2022-01-20 20:30:27,['tanalysis'],Neutral,Article,"['DOT', 'FTM', 'SAND']","2024/02/07, 14:10:63619",100779,4.2
Moonbeam GLMR launch brings EVM interoperability closer to the Polkadot network,GLMR could be a top contender in 2022 if Moonbeams planned interoperability with the Ethereum Network is a hit with investors and developers,Cointelegraph,2022-01-20 20:35:00,[],Positive,Article,"['DOT', 'GLMR']","2024/02/07, 14:10:63618",100782,4.53
Crypto Price Analysis Jan21 Ethereum Ripple Cardano Solana and Polkadot,This week we take a closer look at Ethereum Ripple Cardano Solana and Polkadot Ethereum ETH Last night the significant market crash pushed ETHs price under the critical support of 3000 which will now act as resistance,CryptoPotato,2022-01-21 10:05:42,['tanalysis'],Neutral,Article,"['ADA', 'DOT', 'ETH', 'SOL', 'XRP']","2024/02/07, 14:10:64096",100932,3.98
Polkadot continues to sink as the downtrend remains unbroken,Polkadot found support at 235 recently but its endeavor to flip the 2745 area from supply to demand was rejected in no uncertain terms What began as a pullback in early November appeared to have become a downtrend,AMBCrypto,2022-01-21 16:30:35,[],Negative,Article,['DOT'],"2024/02/07, 14:10:63984",101105,6.16
Polkadot price analysis DOT to step into the 21 range as it continues lower at 22,TLDR Breakdown Polkadot price analysis is bearish today Resistance is present at 236,Cryptopolitan,2022-01-21 17:04:35,['tanalysis'],Negative,Article,['DOT'],"2024/02/07, 14:10:63975",101123,5.48
Price analysis 121 BTC ETH BNB ADA SOL XRP LUNA DOT AVAX DOGE,Bitcoin and most major altcoins are close to breaking below critical support levels and traders reluctance to buy in the current range could exacerbate the selloff,Cointelegraph,2022-01-21 17:38:39,['tanalysis'],Neutral,Article,"['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'ETH', 'LUNA', 'SOL', 'XRP', 'DOT']","2024/02/07, 14:10:63963",101137,4.37
Why Solana Cardano Polkadot and Dogecoin All Plunged Today,The market has sold off crypto across the board on Friday,The Motley Fool,2022-01-21 18:12:46,[],Negative,Article,"['ADA', 'DOGE', 'DOT', 'SOL']","2024/02/07, 14:10:63951",101150,5.0
Polkadot Price Predictions Where Will the DOT Crypto Go After Todays Bitcoin Crash,Today there is increased interest in Polkadot price predictions after this top cryptocurrency sinks more than 12 Where will DOT go next,Investorplace,2022-01-21 19:46:26,[],Negative,Article,['DOT'],"2024/02/07, 14:10:63923",101183,6.2
Polkadot Declines to 22 Low as the Altcoin Reaches an Oversold Region,Polkadot DOT has fallen to an alltime low of 022 on September 21 2021 Today the altcoin is hovering above 22 In recent price action the DOT price has held above 23 the previous low of the December 4 price drop,Coin Idol,2022-01-22 11:15:00,[],Negative,Article,['DOT'],"2024/02/07, 14:10:64252",101320,5.03
Polkadot price analysis DOT recovers 1800 support but can the bulls hold on,TLDR Breakdown Polkadot price analysis suggests sideways movement below 2000 The closest support level lies at 1800 DOT faces resistance at the 1900 mark The Polkadot price analysis shows that despite the strong bearish activity the bulls are able to fight back and have recovered from the lows of 1617 to the current level above ,Cryptopolitan,2022-01-22 13:47:20,['tanalysis'],Positive,Article,['DOT'],"2024/02/07, 14:10:64227",101349,5.48
Crypto Venture Capitalist Says Hes Bullish on Several Ethereum Rivals Amid Shift in Crypto Market Dynamics Report,A crypto investor from Crypto Valley Venture Capital is reportedly keeping a close watch on a number of Ethereum ETH rivals showing potential for growth In a new Business Insider report Olaf Hannemann the founder and chief information officer of the blockchainfocused venture capital firm says that beyond BitcoinBTC there are a number of interesting  The post Crypto Venture Capitalist Says Hes Bullish on Several Ethereum Rivals Amid Shift in Crypto Market Dynamics Report appeared first on The Daily Hodl,The Daily Hodl,2022-01-22 15:30:22,[],Positive,Article,"['AVAX', 'DOT', 'NEAR', 'SOL', 'XTZ']","2024/02/07, 14:10:64204",101375,4.38
Polkadot DOT Upgrade of the Parachain to 6s,Catch up on the latest crypto market news at The Currency Analytics Polkadot Hybrid Consensus Securing a slot Implementation of this Improvement With Optimization Polkadot is a sharded protocol that enables blockchain The post Polkadot DOT Upgrade of the Parachain to 6s appeared first on Cryptocurrency News,The Currency Analytics,2022-01-22 18:00:16,['upgrade'],Positive,Article,['DOT'],"2024/02/07, 14:10:64181",101414,4.86
3 possible reasons why Polkadot is playing second fiddle in the L1 race,The timing of parachain auctions and the lack of interoperability with Ethereum may have impacted Polkadots token price and its competitiveness against other layer1 protocols,Cointelegraph,2022-01-22 21:05:00,[],Negative,Article,['DOT'],"2024/02/07, 14:10:64162",101437,6.33
Polkadot Price Analysis DOT forms consolidation above 17 ready to reverse,TLDR Breakdown Polkadot price analysis is bullish today DOTUSD rejected downside below 17 yesterday,Cryptopolitan,2022-01-23 09:13:01,['tanalysis'],Positive,Article,['DOT'],"2024/02/07, 14:10:64412",101527,5.48
Is Polkadot buy opportunity after the current dip,Polkadot DOTUSD has weakened from 55 to 1620 since November 04 and the current price stands at 1886 The cryptocurrency market has collapsed this trading week Bitcoin went below 35000 and the price of DOT remains under pressure Polkadot can easily upgrade itself to changes Polkadot is an opensource project that enables crossblockchain transfers of  La notizia Is Polkadot buy opportunity after the current dip era stato segnalata su Invezz,Invezz,2022-01-23 11:05:33,[],Positive,Article,['DOT'],"2024/02/07, 14:10:64396",101528,5.39
InvestAnswers Host Gives His Verdict on Terra Solana Avalanche Fantom Polygon Polkadot and Cardano,Recently popular crypto analysis and market commentary show InvestAnswers looked at the top eight competitors to Ethereum in the race for smart contract dominance In a YouTube video published on January 16 the host of InvestAnswers told viewers that although Ethereum remains the dominant 800pound gorilla other players are chipping away at its market hold ,CryptoGlobe,2022-01-24 09:22:06,[],Neutral,Article,"['ADA', 'AVAX', 'FTM', 'LUNA', 'MATIC', 'SOL', 'DOT']","2024/02/07, 14:10:64684",101671,3.99
Make Or Brake Situation For Terra Polkadot And Harmony Price Heres What Traders Can Expect,The altcoin market has lost its glory of 1 trillion market cap in the recent crash Currently the market leader Bitcoin has been extremely oversold since March 2020 Hence relief bounce could be somewhere around the corner However the bounce could become a trap for the flagship asset and bluechip cryptocurrencies if volume fails to ,CoinPedia,2022-01-24 12:30:03,[],Neutral,Article,"['LUNA', 'ONE', 'DOT']","2024/02/07, 14:10:64627",101746,4.09
Why isnt Polkadot BOOMING yet 3 Polkadot Cons,Polkadot is one of the most promising blockchain networks in the crypto marketBut the cryptocurrency is one of the Layer 1 solutions that has not yet been able to establish itself at the top,CryptoTicker,2022-01-24 13:21:00,[],Negative,Article,['DOT'],"2024/02/07, 14:10:64606",101774,5.38
Polkadot Could Become FC Barcelonas Official Jersey Sponsor,FC Barcelona will choose between Polkadot and Spotify for its new official jersey sponsor,CryptoPotato,2022-01-24 16:15:28,[],Neutral,Article,['DOT'],"2024/02/07, 14:10:64553",101857,5.94
Price analysis 124 BTC ETH BNB ADA SOL XRP LUNA DOGE DOT AVAX,Bitcoin and most altcoins have fallen to key support levels but the current trading setup suggests traders lack the confidence to chase after an oversold bounce,Cointelegraph,2022-01-24 18:47:57,['tanalysis'],Neutral,Article,"['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'ETH', 'LUNA', 'SOL', 'XRP', 'DOT']","2024/02/07, 14:10:64511",101914,4.37
Institutions Buying the Dip Cardano ADA Solana SOL and Polkadot DOT See Minor Inflows As Markets Correct CoinShares,Bitcoin BTC has seen a week of institutional investment inflows breaking a fiveweek outflow trend according to digital asset manager Coinshares CoinShares says Cardano ADA Solana SOL and Polkadot DOT also enjoyed inflows on the week suggesting that investors are anticipating a possible market turnaround on the horizon The inflows came later in the week  The post Institutions Buying the Dip Cardano ADA Solana SOL and Polkadot DOT See Minor Inflows As Markets Correct CoinShares appeared first on The Daily Hodl,The Daily Hodl,2022-01-24 19:41:10,['institutions'],Negative,Article,"['ADA', 'SOL', 'DOT']","2024/02/07, 14:10:64501",101944,4.64
Polkadot wants to become official sponsors of FC Barcelona,TLDR Breakdown Polkadot proposes to be official short sponsors of FC Barcelona Music platform Sportify also wants to be sponsors,Cryptopolitan,2022-01-24 19:55:52,[],Neutral,Article,['DOT'],"2024/02/07, 14:10:64497",101960,5.64
Heres 5 altcoins to study as crypto prices drop close to a 1year low,Crypto prices continue to take a beating but valuefocused investors might consider taking a closer look at MATIC FTM DOT FXS and CRV,Cointelegraph,2022-01-24 22:15:01,[],Negative,Article,"['CRV', 'DOT', 'FTM', 'FXS', 'MATIC']","2024/02/07, 14:10:64463",101978,4.53
Heres Whats Next for Cardano ADA Polkadot DOT Terra LUNA and Four Additional Altcoins According to Top Crypto Trader,A closely followed crypto strategist is mapping out whats ahead for Ethereumcompetitors Cardano ADA Polkadot DOT Terra LUNA and four other altcoins Pseudonymous analyst Altcoin Sherpa tells his 165700 Twitter followers that hes looking at where smart contract platform Cardanos price could potentially bounce ADA since everyones exposed to just altcoins Im going to be  The post Heres Whats Next for Cardano ADA Polkadot DOT Terra LUNA and Four Additional Altcoins According to Top Crypto Trader appeared first on The Daily Hodl,The Daily Hodl,2022-01-24 23:05:04,[],Neutral,Article,"['ADA', 'LUNA', 'DOGE', 'AXS', 'DOT', 'LINK']","2024/02/07, 14:10:64457",101988,4.38
Polkadot EOS VeChain Price Analysis 05 February,Polkadot held steady above 20 as technicals suggested a target of 236 for DOT bulls to achieve over the coming days EOS was in a phase of consolidation just above an important level of support at 3,AMBCrypto,2021-02-05 20:00:55,tanalysis,Neutral,Article,"['DOT', 'EOS', 'VET']","2024/01/22, 13:58:26",10205,4.2
Polkadot Joins Race to Become Lead FC Barcelona Sponsor,The race to become the main jersey sponsor of FC Barcelona is going on and blockchain Blockchain Blockchain comprises a digital network of blocks with a comprehensive ledger of transactions made in a cryptocurrency such as Bitcoin or other altcoinsOne of the signature features of blockchain is that it is maintained across more than one computer The ledger can be public or private permissioned,FinanceMagnates,2022-01-25 07:17:00,[],Neutral,Article,['DOT'],"2024/02/07, 14:10:65011",102101,5.9
FC Barcelona is considering Polkadot DOT as the official jersey sponsor,The sports sector has secured numerous cryptocurrency sponsorships over the past year FC Barcelona could soon secure a crypto sponsorship if it picks Polkadot DOTUSD to be the official jersey sponsor for the football club FC Barcelona currently has two options the Polkadot blockchain protocol and the streaming music platform Spotify Polkadot could soon secure  La notizia FC Barcelona is considering Polkadot DOT as the official jersey sponsor era stato segnalata su Invezz,Invezz,2022-01-25 09:21:51,[],Neutral,Article,['DOT'],"2024/02/07, 14:10:64994",102108,5.39
Polkadot price analysis DOTUSD finds resistance at 20 is 20 on the cards,TLDR Breakdown Polkadot price analysis is bullish today DOTUSD is currently trading at 1814,Cryptopolitan,2022-01-25 10:10:09,['tanalysis'],Neutral,Article,['DOT'],"2024/02/07, 14:10:64987",102114,5.48
Top Ethereum killers that you can buy on January 25 2022 ADA SOL and DOT,Cardano ADAUSD is a proofofstake PoS blockchain platform designed to be an efficient alternative to Ethereum Solana SOLUSD is a blockchain platform specifically designed to host decentralized and scalable applications Polkadot DOTUSD is a blockchain platform that enables crossblockchain transfers of any type of data or asset Should you buy Cardano ADA On January 25  La notizia Top Ethereum killers that you can buy on January 25 2022 ADA SOL and DOT era stato segnalata su Invezz,Invezz,2022-01-25 14:54:34,[],Positive,Article,"['ADA', 'SOL', 'DOT']","2024/02/07, 14:10:64895",102188,3.59
Acala Is Now Live on Polkadot,Acala Network has commenced its mainnet rollout on the Polkadot blockchain,Crypto Briefing,2022-01-25 14:25:46,[],Neutral,Article,['DOT'],"2024/02/07, 14:10:64904",102244,6.07
Polkadot Shiba Inu CRV Price Analysis 25 January,Bitcoins jump above its 4hour 20 SMA over the past day seemed to pave the path for a possible recovery Polkadot still needed to challenge the upper trendline of the downchannel to confirm a reversal,AMBCrypto,2022-01-25 17:30:26,['tanalysis'],Neutral,Article,"['CRV', 'SHIB', 'DOT']","2024/02/07, 14:10:64848",102257,4.2
ADA XRP LTC  DOT Price to Bottom Hard and Ignite A Strong Flip Towards Their ATH,The crypto space is recovering with a strong momentum since the last trading day as Bitcoin went on to hit levels above 37500 No doubt the asset plunged but the 36000 levels were strongly maintained Currently the asset is hovering around 36500 which can be speculated as a good try to recover yet the bearish ,CoinPedia,2022-01-25 19:30:00,[],Neutral,Article,"['ADA', 'LTC', 'XRP', 'DOT']","2024/02/07, 14:10:64811",102318,4.09
Why Polkadot Cryptocom and Avalanche Jumped Today,Is this a bounce worth believing in,The Motley Fool,2022-01-25 20:37:56,[],Positive,Article,"['AVAX', 'CRO', 'DOT']","2024/02/07, 14:10:64788",102342,4.55
Polkadot Offers to Become Barcelonas Official Sponsor,Many countries and industries have opened up to the growing crypto community For example athletes and professional soccer clubs rapidly embrace the blockchain space,Altcoin Buzz,2022-01-25 19:52:20,[],Neutral,Article,['DOT'],"2024/02/07, 14:10:64803",102358,5.57
Polkadot price analysis DOT finds upturn after declining 38 percent in 5 days,TLDR Breakdown Polkadot price jumped more than 6 percent to record its first upward movement in 9 days DOT jumped from 1595 at the start of trade to sit at 1895 at current trade 2311 resistance remains as next target in sight for Polkadot Polkadot price analysis shows a rare day of upward movement for ,Cryptopolitan,2022-01-26 03:05:56,['tanalysis'],Positive,Article,['DOT'],"2024/02/07, 14:10:64728",102428,5.48
Heres What Next For ADA DOT DOGE LUNA LINK AXS and ATOM Price,Looks like the crypto market is finally out of the woods as Bitcoin has increased by 10 Day traders favourite altcoins ETH LUNA and ATOM are also up and to the right Even if entire investments is in the red the trading lines are green Cardano ADA Polkadot DOT Terra LUNA and four more altcoins ,CoinPedia,2022-01-26 06:07:32,[],Neutral,Article,"['ADA', 'ATOM', 'DOGE', 'LINK', 'LUNA', 'AXS', 'DOT']","2024/02/07, 14:10:65318",102453,4.09
Polkadot Price Bounces off Yearlong Trend Line,A sigh of relief for Dot investors as the price bounces off a yearlong trend line which started back in December2020,InvestingCube,2022-01-26 13:52:36,[],Positive,Article,['DOT'],"2024/02/07, 14:10:65212",102591,5.42
Polkadot price analysis DOT travels high as bulls cause an upturn above 1894,TLDR Breakdown Bullish wave carries price to 1894 Polkadot price analysis shows uptrend,Cryptopolitan,2022-01-26 17:58:41,['tanalysis'],Positive,Article,['DOT'],"2024/02/07, 14:10:65138",102697,5.48
Price analysis 126 BTC ETH BNB ADA SOL XRP LUNA DOGE DOT AVAX,Bitcoin and altcoins are in a strong relief rally but overhead resistance levels and expected comments from the Federal Reserve could impact the recovery,Cointelegraph,2022-01-26 18:04:11,['tanalysis'],Neutral,Article,"['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'ETH', 'LUNA', 'SOL', 'XRP', 'DOT']","2024/02/07, 14:10:65131",102704,4.37
Price analysis 25 BTC ETH XRP DOT ADA LINK LTC BNB BCH XLM,Altcoins are reaching multiyear highs while Bitcoin price builds momentum for the next run at the 40000 level,Cointelegraph,2021-02-06 03:11:32,tanalysis,Neutral,Article,"['ADA', 'BCH', 'BNB', 'BTC', 'DOT', 'ETH', 'LTC', 'XLM', 'XRP']","2024/01/22, 13:58:26",10282,4.37
Polkadot DOT Or Polygon MATIC  Which Altcoin Traders are HODLing This Bear Season,Prior to investing in altcoins one needs to study more on the projects whitepaper supply and demand analytics team and stakeholders of the project Currently Polkadot and Polygon are known to have considerably higher development activity in comparison to other altcoins Veterans across the cryptoverse have been referring to the above protocols as the best ,CoinPedia,2022-01-27 12:38:24,[],Neutral,Article,"['DOT', 'MATIC']","2024/02/07, 14:10:65528",102952,4.09
Layer by Layer Issue 18 Avalanche Cosmos Osmosis Terra Polkadot,Quick Take In this weekly series we dive into some of the most interesting data and developments across the Layer 1 blockchain landscape from DeFi and bridges to network activity and funding Facing elevated user demand from ongoing growth and recent market volatility L1 blockchains are continuing to confront the difficulties of scaling As new chains begin to emerge at an accelerated pace deliberate strategies for concentrating liquidity are showing effectiveness in bootstrapping early ecosystem growth This week we will take a look at Avalanche Cosmos Osmosis Terra and Polkadot along with a brief update on Fantom and Solana,The Block,2022-01-27 13:22:49,[],Neutral,Article,"['ATOM', 'AVAX', 'DOT', 'LUNA', 'OSMO']","2024/02/07, 14:10:65508",102977,4.42
Blockchain Innovation Done the Polkadot Way According to Gavin Wood,In a recent Realvision interview the developer Gavin Wood explains how Polkadot reimagines the innovation ecosystem from the ground up Wood also discusses how the Polkadot protocol is both similar but also different than Ethereum the secondlargest crypto asset by market valuation Polkadot A Bet Against Maximalism Innovation involves the pioneering and actualization of a ,Bitcoin,2021-02-06 04:30:10,,Positive,Article,['DOT'],"2024/01/22, 13:58:26",10313,6.24
Acala Hints Core Products Rollout Following Official Launch on Polkadot,Acalas core products include a decentralized exchange an upgraded EVM and a decentralized stablecoin among others,CryptoPotato,2022-01-27 23:45:29,[],Positive,Article,['DOT'],"2024/02/07, 14:10:65341",103198,5.94
Polkadot price analysis DOT value grows above 18 as bullish trend resumes,TLDR Breakdown Polkadot price analysis is bullish Resistance for DOT is present at 197,Cryptopolitan,2022-01-28 07:02:35,['tanalysis'],Positive,Article,['DOT'],"2024/02/07, 14:10:65881",103241,5.48
Centrifuge CFG Successfully Secures Polkadot Parachain Slot,Centrifuge CFG has announced that it has successfully secured a parachain slot on Polkadot DOT The huge milestone will finally lay the foundation for Centrifuge to usher in realworld assets and decentralized finance DeFi solutions to the Polkadot ecosystem,BTCManager,2022-01-28 11:13:29,[],Positive,Article,['DOT'],"2024/02/07, 14:10:65833",103300,4.79
Astar Network Raises 22M to Boost Polkadot Interoperability,Polychain Capital led the round with Alameda Research and Cryptocom Capital also contributing,Crypto Briefing,2022-01-28 12:51:32,[],Positive,Article,['DOT'],"2024/02/07, 14:10:65802",103340,6.07
Centrifuge Secured Polkadots Parachain Slot Announces Acala and Moonbeam Integrations,Centrifuge an ecosystem for crossnetwork DeFis officially becomes an integral part of Polkadot,UToday,2022-01-28 13:14:00,[],Neutral,Article,['DOT'],"2024/02/07, 14:10:65791",103349,6.03
Polkadot Parachain Astar Network Raises 22M from Polychain Alameda Research,Alchemy Ventures Animal Ventures Cryptocom Capital and others also participated in the round,Coindesk,2022-01-28 13:46:00,[],Positive,Article,['DOT'],"2024/02/07, 14:10:65780",103372,6.37
Bitcoin Binance Coin Polkadot and Chainlink Daily Price Analyses  28 January Morning Price Prediction,TLDR Breakdown The global crypto market continues to move bearish losing 127 in 24 hours Bitcoin performance has remained good for the last 24 hours adding 050,Cryptopolitan,2022-01-28 15:34:51,[],Neutral,Article,"['BNB', 'BTC', 'DOT', 'LINK']","2024/02/07, 14:10:65744",103409,3.84
Acala Could Rollout Core Products After Official Launch On Polkadot,Acala could rollout core products like a decentralized exchange or an upgraded EVM and a decentralized stablecoin after the official launch on Polkadot so lets read further in todays blockchain news Following the launch on the Polkadot Mainnet Acala is an ETHcompatible DEFI protocol for scaling dapps and revealed what lies ahead for the project,DCForecasts,2022-01-28 16:45:56,[],Neutral,Article,['DOT'],"2024/02/07, 14:10:65724",103445,4.94
Price analysis 128 BTC ETH BNB ADA SOL XRP LUNA DOGE DOT AVAX,Technical analysis points toward early bottoming signs in BTC and altcoins but analysts forecast another sharp downside move,Cointelegraph,2022-01-28 17:50:00,['tanalysis'],Neutral,Article,"['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'ETH', 'LUNA', 'SOL', 'XRP', 'DOT']","2024/02/07, 14:10:65708",103464,4.37
Centrifuge Wins Polkadots 9th Parachain Slot,Polkadots next parachain slot will go to Centrifuge which will bring realworld assets to its Defi ecosystem,CryptoPotato,2022-01-28 19:07:38,[],Positive,Article,['DOT'],"2024/02/07, 14:10:65684",103497,5.94
New launch sees Polkadot stablecoin Acala power Ethereumbased DeFi systems,The new Acala EVM brings together Ethereum and Polkadot with a composable singlewallet that allows users to set their own gas fees and schedule onchain transactions The post New launch sees Polkadot stablecoin Acala power Ethereumbased DeFi systems appeared first on CryptoSlate,CryptoSlate,2021-02-06 19:02:11,stablecoins,Positive,Article,"['DOT', 'ETH']","2024/01/22, 13:58:26",10359,3.63
Acala Opens Up Details of Its Polkadot EVM,One of Polkadots main parachains Acala has unveiled a key update that will bridge both projects with Ethereum EthereumCompatible DeFi on Polkadot Acala already exists as a DeFi hub and stablecoin issuance platform on the Polkadot blockhain,Crypto Briefing,2021-02-06 20:00:11,,Neutral,Article,['DOT'],"2024/01/22, 13:58:26",10363,6.07
Missed Out on Solana Buy This Cryptocurrency Now,More and more developers are flocking to this blockchain,The Motley Fool,2022-01-29 11:00:00,[],Positive,Article,['DOT'],"2024/02/07, 14:10:65988",103633,6.35
Polkadot Resumes RangeBound Trend as Buyers and Sellers Remain Indifference,The price of Polkadot DOT is trading in oversold territory and above 17 at the time of writing The cryptocurrencys price action is characterized and dominated by small indecisive candlesticks known as doji and spinning tops,Coin Idol,2022-01-29 10:50:00,[],Neutral,Article,['DOT'],"2024/02/07, 14:10:65990",103635,5.03
Centrifuge Becomes The 9th Parachain Slot On Polkadot Report,Centrifuge becomes the 9thparachain slot on Polkadot and aims to bring realworld assets to its DEFI ecosystem so lets read further in our latest blockchain news Centrifuge is a decentralized asset financing protocol that recently won an auction for a parachain slot on Polkadot and just like other parachains from the Polkadot second group of ,DCForecasts,2022-01-29 12:50:14,[],Neutral,Article,['DOT'],"2024/02/07, 14:10:65967",103655,4.94
Polkadot price analysis DOT trades above 1851 resistance recent trend suggests its time to cash out,TLDR Breakdown Polkadot price rose 4 percent on the day to go above 1851 resistance Price movement showed bullish signs by reaching as high as 1888 with trading volume falling 20 percent Recent trend suggests seller pressure is set to come in with increasing volatility Polkadot price analysis shows bullish signs for the token Price ,Cryptopolitan,2022-01-30 02:53:34,['tanalysis'],Negative,Article,['DOT'],"2024/02/07, 14:10:65896",103775,5.48
Polkadot Tezos Aave Price Analysis 30 January,While Bitcoins 4hour 20 SMA jumped above its 50 SMA the cryptomarket registered a decent recovery over the past three days Consequently Polkadot and Tezos saw bullish patterns on their charts,AMBCrypto,2022-01-30 11:00:07,['tanalysis'],Neutral,Article,"['AAVE', 'DOT', 'XTZ']","2024/02/07, 14:10:66116",103817,4.2
Value Locked in Defi Climbs Higher Polkadot TVL Spikes Terras LUNA Sheds 21,On Sunday January 30 2022 the top smart contract protocol tokens by market capitalization is 592 billion or 3266 of the 18 trillion crypto economy Meanwhile the totalvalue locked TVL in decentralized finance defi protocols is 19242 billion up 528 since January 23 Defi TVL Climbs More Than 5 Ethereum Defi Dominance Still 60 CrossChain ,Bitcoin,2022-01-30 16:30:35,[],Neutral,Article,"['DOT', 'LUNA']","2024/02/07, 14:10:66072",103874,4.44
Ethereum Cardano Polygon Solana Avalanche And Polkadot Deathmatch Who Wins Who Dies,When you click on a DeFi project and it tells you it needs 200 of Ethereum to pay for the transaction the dream of fast cheap transactions from crypto are shown to be a lie at least for now Enter the competitor chains,Forbes,2022-01-28 15:39:06,[],Neutral,Article,"['ADA', 'AVAX', 'DOT', 'ETH', 'MATIC', 'SOL']","2024/02/07, 14:10:65742",103977,4.75
CoinShares Launches Crypto ETPs for Staked Tezos XTZ and Polkadot DOT,CoinShares launches crypto ETPs for staked Tezos XTZ and Polkadot DOT that will share the rewards of staking with investors,Crypto Economy,2022-01-27 13:19:53,[],Positive,Article,"['DOT', 'XTZ']","2024/02/07, 14:10:65509",103989,3.32
Polkadot ninth auction for parachains concluded,This time the winner is Centrifuge a protocol for the tokenization of traditional financial assets,The Cryptonomist,2022-01-31 13:47:18,[],Neutral,Article,['DOT'],"2024/02/07, 14:10:66317",104056,5.51
